Disciplina,Dia,Início,Fim,Sala,Docente,Curso,Semestre
JLC045 - Estágio Supervisionado II,Sábado,13:30,17:30,,MARCELO_F,LCO,6
JLC045 - Estágio Supervisionado II,Sábado,13:30,17:30,C103,BELETI,LCO,6
JLC045 - Estágio Supervisionado II,Sábado,13:30,17:30,C103,TINO,LCO,6
JLC020 - Inteligência Artificial e Computacional,Terça,13:30,15:30,C105,RODRIGO,LCO,6
JLC040 - Prática Pedagógica VIII,Quinta,13:30,16:30,C106,SUB_Comp,LCO,8
JLC067 - Estágio Supervisionado IV,Sábado,07:30,17:30,C106,TINO,LCO,8
JLC067 - Estágio Supervisionado IV,Sábado,07:30,17:30,C106,MARCELO_F,LCO,8
JLC021 - Trabalho de Conclusão de Curso II,Sábado,15:30,17:30,,MAYTE,LCO,8
JLC021 - Trabalho de Conclusão de Curso II,Sábado,15:30,17:30,,RODRIGO,LCO,8
JLC021 - Trabalho de Conclusão de Curso II,Sábado,15:30,17:30,,ROGERIO,LCO,8
